City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
211,Saint-Francois,FR,63.48,broken clouds,46.4154,3.9054,Manoir Du Bonheur
212,San Juan,AR,68.18,clear sky,-31.5375,-68.5364,Hotel Provincial
213,Chokurdakh,RU,34.75,broken clouds,70.6333,147.9167,
214,Butaritari,KI,77.47,moderate rain,3.0707,172.7902,Isles Sunset Lodge
215,Simbahan,PH,84.18,overcast clouds,6.3032,120.5836,
216,Kavaratti,IN,81.95,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
217,Merauke,ID,74.43,broken clouds,-8.4667,140.3333,
218,Raga,SS,71.17,broken clouds,8.4596,25.678,
219,Mikhaylovka,RU,77.09,light rain,50.06,43.2379,5 Komnat
220,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
221,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
222,Vaitape,PF,78.55,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
223,Yumen,CN,75.52,broken clouds,40.2833,97.2,
224,Larreynaga,NI,87.6,overcast clouds,12.6769,-86.5719,Finca El Carrizal
225,Guerrero Negro,MX,83.82,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
226,Mokhsogollokh,RU,55.69,overcast clouds,61.4681,128.9203,
227,Burgeo,CA,64.36,few clouds,47.6167,-57.6152,Gillett's Motel
228,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
229,Lebu,CL,55.17,clear sky,-37.6167,-73.65,Hostal Las Lilas
230,Jinsha,CN,82.0,overcast clouds,32.0898,121.0735,Cosmic Guangdong International Hotel
231,Novosergiyevka,RU,82.51,broken clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
232,Havoysund,NO,52.68,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
233,Hellin,ES,89.38,scattered clouds,38.5106,-1.701,Hotel Restaurante Reina Victoria
234,Cidreira,BR,61.23,scattered clouds,-30.1811,-50.2056,Hotel Castelo
